Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
MeshCreationFailed_Title,20,Mesh creation failed,메시 생성 실패,La création de maillage a échoué,Die Netzerstellung ist fehlgeschlagen,Creación de malla fallida,Creazione di maglia fallita,Mask oprettet mislykkedes,メッシュの作成に失敗しました,網格劃分創建失敗,网格划分创建失败,Tworzenie siatki nie powiodło się,
MeshCreationFailed_Body,21,Mesh can not be generated due to an error. Please try again.,에러가 발생하여 메시를 생성할 수 없습니다. 다시 시도하세요.,Le maillage ne peut pas être généré en raison d'une erreur. Veuillez réessayer.,Netz kann aufgrund eines Fehlers nicht generiert werden. Bitte versuche es erneut.,La malla no se puede generar debido a un error. Inténtalo de nuevo.,La maglia non può essere generata a causa di un errore. Per favore riprova.,Mesh kan ikke genereres på grund af en fejl. Prøv igen.,エラーのためメッシュを生成できません。もう一度お試しください。,網格劃分由於錯誤而不能生成。請再試一次。,网格划分由于错误而不能生成。请再试一次。,Siatki nie można wygenerować z powodu błędu. Proszę spróbuj ponownie.,
MeshAddFailed_Title,22,Fail to add Mesh,메시 추가 실패,Impossible d'ajouter un maillage,Fehler beim Hinzufügen eines Netzes,No se puede agregar una malla,Impossibile aggiungere una maglia,Undlader at tilføje Mesh,メッシュの追加に失敗しました,無法添加網格劃分,无法添加网格划分,Nie udało się dodać siatki,
MeshAddFailed_Body,23,Mesh can not be added due to an error. Try again.,에러가 발생하여 메시를 추가할 수 없습니다. 다시 시도하세요.,Le maillage ne peut pas être ajouté en raison d'une erreur. Réessayer.,Ein Netz kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,La malla no se puede agregar debido a un error. Volver a intentar.,La maglia non può essere aggiunta a causa di un errore. Riprova.,Mesh kan ikke tilføjes på grund af en fejl. Prøv igen.,エラーのためメッシュを追加できません。再試行する。,網格劃分由於錯誤而無法添加。再試一次。,网格划分由于错误而无法添加。再试一次。,Nie można dodać siatki z powodu błędu. Spróbuj ponownie.,
AnimCreateFailed_Title,24,Fail to add Animation Clip,애니메이션 클립 추가 실패,Impossible d'ajouter un clip d'animation,Fehler beim Hinzufügen des Animationsclips,No se puede agregar un clip de animación,Impossibile aggiungere la clip di animazione,Undlader at tilføje animationsklip,アニメーションクリップの追加に失敗しました,無法添加動畫剪輯,无法添加动画剪辑,Nie można dodać klipu animacji,
AnimCreateFailed_Body,25,Animation Clip can not be added due to an error. Try again.,에러가 발생하여 애니메이션 클립을 추가할 수 없습니다. 다시 시도하세요.,Le clip d'animation ne peut pas être ajouté en raison d'une erreur. Réessayer.,Der Animationsclip kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,No se puede agregar un clip de animación debido a un error. Inténtalo de nuevo.,La clip dell'animazione non può essere aggiunta a causa di un errore. Riprova.,Animation Clip kan ikke tilføjes på grund af en fejl. Prøv igen.,エラーのためにアニメーションクリップを追加できません。再試行する。,由於錯誤[c]無法添加動畫片段。再試一次。,由于错误[c]无法添加动画片段。再试一次。,Nie można dodać klipu animacji z powodu błędu. Spróbuj ponownie.,
AnimDuplicatedFailed_Title,26,Failed to copy Animation Clip,애니메이션 클립 복사 실패,Impossible de copier le clip d'animation,Fehler beim Kopieren des Animationsclips,Error al copiar el clip de animación,Impossibile copiare clip di animazione,Fejl ved kopiering af animationsklip,アニメーションクリップのコピーに失敗しました,無法複製動畫剪輯,无法复制动画剪辑,Nie udało się skopiować klipu animacji,
AnimDuplicatedFailed_Body,27,An error occurred and the Animation Clip can not be copied.,에러가 발생하여 애니메이션 클립을 복사할 수 없습니다.,Une erreur s'est produite et le clip d'animation ne peut pas être copié.,Ein Fehler ist aufgetreten und der Animationsclip kann nicht kopiert werden.,Se produjo un error y no se puede copiar el clip de animación.,Si è verificato un errore e non è possibile copiare il clip di animazione.,Der er opstået en fejl[c] og animationsklipet kan ikke kopieres.,エラーが発生し[c]アニメーションクリップをコピーできません。,發生錯誤[c]並且不能複制動畫剪輯。,发生错误[c]并且不能复制动画剪辑。,Wystąpił błąd i nie można skopiować klipu animacji.,
AnimTimelineAddFailed_Title,28,Failed to Add Timeline,타임라인 추가 실패,Impossible d'ajouter une Timeline,Fehler beim Hinzufügen der Zeitleiste,Error al agregar la Timeline,Impossibile aggiungere la Timeline,Kunne ikke tilføje tidslinje,タイムラインを追加できませんでした,無法添加時間軸,无法添加时间轴,Nie udało się dodać osi czasu,
AnimTimelineAddFailed_Body,29,Timeline cannot be added due to an error. Try again.,에러가 발생하여 타임라인을 생성할 수 없습니다. 다시 시도하세요.,La Timeline ne peut pas être ajoutée en raison d'une erreur. Réessayer.,Die Zeitleiste kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,La Timeline no se puede agregar debido a un error. Inténtalo de nuevo.,La Timeline non può essere aggiunta a causa di un errore. Riprova.,Tidslinjen kan ikke tilføjes på grund af en fejl. Prøv igen.,エラーのためタイムラインを追加できません。再試行する。,由於錯誤[c]無法添加時間軸。再試一次。,由于错误[c]无法添加时间轴。再试一次。,Nie można dodać osi czasu z powodu błędu. Spróbuj ponownie.,
AnimTimelineLayerAddFailed_Title,30,Failed to Add Timeline Layer,타임라인 레이어 추가 실패,Impossible d'ajouter une couche de Timeline,Fehler beim Hinzufügen der Zeitachsenebene,Error al agregar la capa de Timeline,Impossibile aggiungere il strato di Timeline,Kunne ikke tilføje tidslinjelag,タイムラインレイヤーの追加に失敗しました,無法添加時間軸圖層,无法添加时间轴图层,Nie udało się dodać warstwy osi czasu,
AnimTimelineLayerAddFailed_Body,31,Timeline Layer cannot be added due to an error. Try again.,에러가 발생하여 타임라인 레이어를 생성할 수 없습니다. 다시 시도하세요.,La couche de Timeline ne peut pas être ajoutée en raison d'une erreur. Réessayer.,Timeline Layer kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,La Timeline no se puede agregar debido a un error. Inténtalo de nuevo.,La strato di Timeline non può essere aggiunto a causa di un errore. Riprova.,Tidslinjelag kan ikke tilføjes på grund af en fejl. Prøv igen.,タイムラインレイヤーはエラーのため追加できません。再試行する。,時間軸圖層由於錯誤而無法添加。再試一次。,时间轴图层由于错误而无法添加。再试一次。,Nie można dodać warstwy osi czasu z powodu błędu. Spróbuj ponownie.,
AnimKeyframeAddFailed_Title,32,Failed to Add Keyframe,키프레임 추가 실패,Échec de l'ajout d'une image clé,Keyframe konnte nicht hinzugefügt werden,Error al agregar fotograma clave,Impossibile aggiungere il fotogramma chiave,Kunne ikke tilføje Keyframe,キーフレームを追加できませんでした,無法添加關鍵幀,无法添加关键帧,Nie udało się dodać klatki kluczowej,
AnimKeyframeAddFailed_Body_Already,33,A keyframe is already created in the selected frame.,이미 선택된 프레임에 키프레임이 생성되어 있습니다.,Une image clé est déjà créée dans l'image sélectionnée.,Ein Schlüsselbild wurde bereits im ausgewählten Bild erstellt.,Ya se creó un fotograma clave en el fotograma seleccionado.,Un fotogramma chiave è già stato creato nel fotogramma selezionato.,Et keyframe er allerede oprettet i den valgte ramme.,選択したフレームには既にキーフレームが作成されています。,關鍵幀已經在選定的幀中創建。,关键帧已经在选定的帧中创建。,Klatka kluczowa jest już utworzona w wybranej klatce.,
AnimKeyframeAddFailed_Body_Error,34,Keyframe can not be added due to an error. Try again.,에러가 발생하여 키프레임을 생성할 수 없습니다. 다시 시도하세요.,L'image clé ne peut pas être ajoutée en raison d'une erreur. Réessayer.,Keyframe kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,El fotograma clave no se puede agregar debido a un error. Inténtalo de nuevo.,Il keyframe non può essere aggiunto a causa di un errore. Riprova.,Keyframe kan ikke tilføjes på grund af en fejl. Prøv igen.,エラーのためキーフレームを追加できません。再試行する。,由於錯誤[c]無法添加關鍵幀。再試一次。,由于错误[c]无法添加关键帧。再试一次。,Klatki kluczowej nie można dodać z powodu błędu. Spróbuj ponownie.,
MeshGroupAddFailed_Title,35,Fail to add Mesh Group,메시 그룹 추가 실패,Impossible d'ajouter un groupe de maillage,Die Netzgruppe konnte nicht hinzugefügt werden,No se puede agregar un grupo de malla,Impossibile aggiungere gruppo di maglie,Undlader at tilføje maskegruppe,メッシュグループの追加に失敗しました,無法添加網格劃分組,无法添加网格划分组,Nie można dodać grupy siatki,
MeshGroupAddFailed_Body,36,Mesh Group can not be added due to an error. Try again.,에러가 발생하여 메시 그룹을 추가할 수 없습니다. 다시 시도하세요.,Le groupe de maillage ne peut pas être ajouté en raison d'une erreur. Réessayer.,Netzgruppe kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,El grupo de malla no se puede agregar debido a un error. Volver a intentar..,Il gruppo di maglie non può essere aggiunto a causa di un errore. Riprova.,Mesh gruppe kan ikke tilføjes på grund af en fejl. Prøv igen.,エラーのためメッシュグループを追加できません。再試行する。,網格劃分組組由於錯誤而無法添加。再試一次。,网格划分组组由于错误而无法添加。再试一次。,Grupy siatki nie można dodać z powodu błędu. Spróbuj ponownie.,
BoneAddFailed_Title,37,Fail to add Bone,본 추가 실패,Impossible d'ajouter de l'os,Fehler beim Hinzufügen des Knochens,No se puede agregar el hueso,Impossibile aggiungere l'osso,Fejl ved at tilføje knoglen,ボーンを追加できない,未能添加骨骼,未能添加骨骼,Nie udało się dodać kości,
BoneAddFailed_Body,38,Bone can not be added due to an error. Try again.,에러가 발생하여 본을 추가할 수 없습니다. 다시 시도하세요.,L'os ne peut pas être ajouté en raison d'une erreur. Réessayer.,Der Bone kann aufgrund eines Fehlers nicht hinzugefügt werden. Versuch es noch einmal.,No se puede agregar hueso debido a un error. Inténtalo de nuevo.,L'osso non può essere aggiunto a causa di un errore. Riprova.,Knoglen kan ikke tilføjes på grund af en fejl. Prøv igen.,エラーのためボーンを追加できません。再試行する。,由於錯誤[c]無法添加骨骼。再試一次。,由于错误[c]无法添加骨骼。再试一次。,Nie można dodać kości z powodu błędu. Spróbuj ponownie.,
MeshAttachFailed_Title,39,Fail to add Mesh to Mesh Group,메시 그룹에 메시 추가하기 실패,Impossible d'ajouter un maillage au groupe de maillage,Das Netz kann der Netzgruppe nicht hinzugefügt werden,No se puede agregar malla al grupo de malla,Impossibile aggiungere maglia a gruppo di maglie,Undlader at tilføje mesh til mesh gruppe,メッシュをメッシュグループに追加できない,無法將網格劃分添加到網格劃分組,无法将网格划分添加到网格划分组,Nie można dodać siatki do grupy siatki,
MeshAttachFailed_Body,40,Mesh can not be added to the Mesh Group due to an error. Please try again.,에러가 발생하여 메시를 메시 그룹에 추가할 수 없습니다. 다시 시도하세요.,Le maillage ne peut pas être ajouté au groupe de maillage en raison d'une erreur. Veuillez réessayer.,Das Netz kann aufgrund eines Fehlers nicht zur Netzgruppe hinzugefügt werden. Bitte versuche es erneut.,La malla no se puede agregar al grupo de malla debido a un error. Por favor intente de nuevo,La mesh non può essere aggiunta al gruppo di maglie a causa di un errore. Per favore riprova.,Mesh kan ikke føjes til Meshgruppen på grund af en fejl. Prøv igen.,エラーのためにメッシュをメッシュグループに追加することはできません。もう一度お試しください。,由於錯誤[c]網格劃分組不能添加到網格劃分組請再試一次。,由于错误[c]网格划分组不能添加到网格划分组请再试一次。,Siatki nie można dodać do grupy siatki z powodu błędu. Proszę spróbuj ponownie.,
MeshGroupAttachFailed_Title,41,Fail to add Mesh Group to other Mesh Group,메시 그룹에 다른 메시 그룹 추가하기 실패,Impossible d'ajouter un groupe de maillage à un autre groupe de mailles,Die Netzgruppe kann keiner anderen Netzgruppe hinzugefügt werden,No se puede agregar un grupo de malla a otro grupo de malla,Impossibile aggiungere il gruppo di maglie ad altri gruppi di maglie,Undlader at tilføje maskegruppe til anden maskegruppe,メッシュグループを他のメッシュグループに追加できません,無法將網格劃分組添加到其他網格劃分組,无法将网格划分组添加到其他网格划分组,Nie można dodać grupy siatki do innej grupy siatki,
MeshGroupAttachFailed_Body,42,Mesh Group cannot be added to another Mesh Group due to an error. Please try again.,에러가 발생하여 메시 그룹을 다른 메시 그룹에 추가할 수 없습니다. 다시 시도하세요.,Le groupe de maillage ne peut pas être ajouté à un autre groupe de maillage en raison d'une erreur. Veuillez réessayer.,Netzgruppe kann aufgrund eines Fehlers nicht zu einer anderen Netzgruppe hinzugefügt werden. Bitte versuche es erneut.,El grupo de malla no se puede agregar a otro grupo de malla debido a un error. Por favor intente de nuevo,Il gruppo di maglie non può essere aggiunto ad un altro gruppo di maglie a causa di un errore. Per favore riprova.,Mesh gruppe kan ikke tilføjes til en anden maskegruppe på grund af en fejl. Prøv igen.,エラーのため[c]メッシュグループを他のメッシュグループに追加することはできません。もう一度お試しください。,由於錯誤[c]網格劃分組不能添加到其他網格劃分組。請再試一次。,由于错误[c]网格划分组不能添加到其他网格划分组。请再试一次。,Grupy siatki nie można dodać do innej grupy siatki z powodu błędu. Proszę spróbuj ponownie.,
ModifierAddFailed_Title,43,Fail to add Modifier,모디파이어 추가 실패,Impossible d'ajouter un modificateur,Fehler beim Hinzufügen des Modifikators,No se puede agregar el modificador,Impossibile aggiungere il modificatore,Fejl ved tilføjelse af modifikator,モディファイヤの追加に失敗,無法添加修飾符,无法添加修饰符,Nie można dodać modyfikatora,
ModifierAddFailed_Body,44,The Modifier cannot be added to the Mesh Group. Please try again.,모디파이어를 메시 그룹에 추가할 수 없습니다. 다시 시도하세요.,Le modificateur ne peut pas être ajouté au groupe de maillage. Veuillez réessayer.,Der Modifikator kann der Netzgruppe nicht hinzugefügt werden. Bitte versuche es erneut.,El modificador no se puede agregar al grupo de malla. Por favor intente de nuevo,Il modificatore non può essere aggiunto al gruppo mesh. Per favore riprova.,Modifikatoren kan ikke føjes til maskegruppen. Prøv igen.,モディファイアをメッシュグループに追加することはできません。もう一度お試しください。,修飾符不能添加到 網格劃分組。請再試一次。,修饰符不能添加到 网格划分组。请再试一次。,Modyfikatora nie można dodać do grupy siatki. Proszę spróbuj ponownie.,
ControlParamNameError_Title,45,Invalid Parameter Name Error,잘못된 컨트롤 파라미터 이름 문제,Erreur de nom de paramètre non valide,Ungültiger Parameter Name Fehler,Error de nombre de parámetro inválido,Errore nome parametro non valido,Ugyldig parameternavn Fejl,無効なパラメータ名エラー,無效的參數名稱錯誤,无效的参数名称错误,Nieprawidłowy błąd nazwy parametru,
ControlParamNameError_Body_Wrong,46,Control Parameter names must not be empty.,컨트롤 파라미터 이름은 비어있으면 안됩니다.,Les noms des paramètres de contrôle ne doivent pas être vides.,Namen von Steuerungsparametern dürfen nicht leer sein.,Los nombres de parámetros de control no deben estar vacíos.,I nomi dei parametri di controllo non devono essere vuoti.,Kontrolparameternavne må ikke være tomme.,制御パラメータ名は空であってはなりません。,控制參數名稱不能為空。,控制参数名称不能为空。,Kontrolne nazwy parametrów nie mogą być puste.,
ControlParamNameError_Body_Used,47,The Control Parameter name is already being used.,컨트롤 파라미터 이름이 이미 사용 중입니다.,Le nom du paramètre de contrôle est déjà utilisé.,Der Name des Steuerungsparameters wird bereits verwendet.,El nombre del parámetro de control ya se está utilizando.,Il nome del parametro di controllo è già in uso.,Kontrolparameternavnet bruges allerede.,制御パラメータ名はすでに使用されています。,控制參數名稱已被使用。,控制参数名称已被使用。,Nazwa parametru kontrolnego jest już używana.,
IKOption_Title,48,IK setting warning,IK 설정 안내,Avertissement de réglage IK,IK-Einstellungswarnung,IK configuración de advertencia,Avviso di impostazione IK,IK-indstilling advarsel,IK設定警告,IK設置警告,IK设置警告,Ostrzeżenie ustawienia IK,
IKOption_Body_Chained,49,<IK Chain> is forced. To change it[c] edit the <IK Head>.,<IK Chain>은 강제로 지정됩니다. 바꾸기 위해서는 <IK Header>를 수정하세요.,<IK Chain> est forcé. Pour le modifier [c] éditez le <IK Head>.,<IK Chain> wird erzwungen. Um es zu ändern[c] bearbeite den <IK Head>.,<IK Chain> es forzado. Para cambiarlo[c] edite el <IK Header>.,<IK Chain> è forzato. Per cambiarlo [c] modificare <IK Head>.,<IK Chain> er tvunget. For at ændre det[c] rediger <IK Header>.,<IK Chain>が強制されます。それを変更するには[c] <IK Head>を編集します。,<IK Chain>被迫。要改變它編輯<IK Head>。,<IK Chain>被迫。要改变它编辑<IK Head>。,<IK Chain> jest wymuszony. Aby to zmienić[c] edytuj <IK Head>.,
IKOption_Body_Head,50,<IK Head> requires one or more children's bones.,<IK Head>는 1개 이상의 자식 본을 필요로 합니다.,<IK Head> nécessite un ou plusieurs os d'enfants.,<IK Head> benötigt ein oder mehrere Kinderknochen.,<IK Head> requiere uno o más huesos de niños.,<IK Head> richiede una o più ossa di bambini.,<IK Head> kræver en eller flere børns knogler.,<IK Head>は[c]複数の子のボーンを必要とします。,<IK Head>需要一個或多個孩子骨頭。,<IK Head>需要一个或多个孩子骨头。,<IK Head> wymaga jednej lub więcej kości dla dzieci.,
IKOption_Body_Single,51,<IK Single> requires a child's Bone.,<IK Single>은 자식 본을 필요로 합니다.,<IK Single> nécessite l'os d'un enfant.,<IK Single> erfordert den Knochen eines Kindes.,<IK Single> requiere el hueso de un niño.,<IK Single> richiede l'osso di un bambino.,<IK Single> kræver et børns knogle.,<IK Single>は[c]子のボーンを必要とします。,<IK Single>需要孩子的骨頭。,<IK Single>需要孩子的骨头。,<IK Single> wymaga kości dziecka.,
PhysicPreset_Regist_Title,52,Register as a Preset,프리셋으로 등록,S'inscrire avec un preset,Mit Preset registrieren,Registrarse con preajuste,Registrati con un preset,Tilmeld dig med forudindstillet,プリセットに登録する,註冊預設,注册预设,Zarejestrować,
PhysicPreset_Regist_Body,53,Do you want to register [ {0} ] as a preset?,선택된 설정 [ {0} ]을 프리셋으로 등록하시겠습니까?,Voulez-vous enregistrer [ {0} ] en tant que préréglage?,Möchten Sie [ {0} ] als Voreinstellung registrieren?,¿Desea registrar [ {0} ] como un ajuste preestablecido?,Vuoi registrare [{0}] come preset?,Vil du registrere [ {0} ] som en forudindstilling?,[ {0} ]をプリセットとして登録しますか？,您是否要將[ {0} ]註冊為預設？,您是否要将[ {0} ]注册为预设？,Czy chcesz zarejestrować [ {0} ] jako ustawienie wstępne?,
PhysicPreset_Regist_Okay,54,Register,등록,Register,Registrierung,Register,Register,Register,登録,註冊,注册,Zarejestrować,
PhysicPreset_Remove_Title,55,Remove Preset,프리셋 삭제,Supprimer le paramètre prédéfini,Voreinstellung entfernen,Eliminar el preajuste,Rimuovi preset,Fjern forudindstillet,プリセットを削除,刪除預設,删除预设,Usuń ustawienie wstępne,
PhysicPreset_Remove_Body,56,Do you want to remove the selected preset [ {0} ]?,선택한 프리셋 [ {0} ]을 삭제하시겠습니까?,Voulez-vous supprimer le préréglage sélectionné [ {0} ]?,Möchten Sie die ausgewählte Voreinstellung [ {0} ] entfernen?,¿Desea eliminar el ajuste preestablecido seleccionado [ {0} ]?,Vuoi rimuovere il preset selezionato [ {0} ]?,Vil du fjerne den valgte forudindstillede [ {0} ]?,選択したプリセット[ {0} ]を削除しますか？,是否要刪除所選的預設[ {0} ]？,是否要删除所选的预设[ {0} ]？,Czy chcesz usunąć wybrane ustawienie [ {0} ]?,
ResetPSDImport_Title,57,Reset PSD Import settings,PSD 불러오기 설정 초기화,Réinitialiser les paramètres d'importation PSD,Setzen Sie die PSD-Importeinstellungen zurück,Restablecer configuración de importación de PSD,Ripristina le impostazioni di importazione PSD,Nulstil PSD Import indstillinger,PSDの読み込み設定をリセットする,重置PSD導入設置,重置PSD导入设置,Zresetuj ustawienia importu PSD,
ResetPSDImport_Body,58,Are you sure you want to reset the PSD import process? (The data is not saved.),PSD 불러오기 과정을 초기화하시겠습니까? (데이터는 저장되지 않습니다.),Êtes-vous sûr de vouloir réinitialiser le processus d'importation PSD? (Les données ne sont pas sauvegardées.),Möchten Sie den PSD-Importvorgang wirklich zurücksetzen? (Die Daten werden nicht gespeichert.),¿Seguro que quieres restablecer el proceso de importación de PSD? (Los datos no se guardan),Sei sicuro di voler resettare il processo di importazione PSD? (I dati non sono stati salvati).,Er du sikker på[c] at du vil nulstille PSD-importprocessen? (Dataene gemmes ikke.),PSDのインポートプロセスをリセットしてもよろしいですか？ (データは保存されません)。,你確定要重設PSD導入程序嗎？ (數據不被保存),你确定要重设PSD导入程序吗？ (数据不被保存),Czy na pewno chcesz zresetować proces importowania PSD? (Dane nie są zapisywane.),
ResetPSDImport_Okay,59,Reset,초기화,Réinitialiser,Zurücksetzen,Reajustar,Reset,Nulstil,リセット,重置,重置,Zresetuj,
ClosePSDImport_Title,60,Close PSD import window,PSD 불러오기 설정 닫기,Fermer la fenêtre d'importation PSD,Schließen Sie das PSD-Importfenster,Cerrar ventana de importación de PSD,Chiudi finestra di importazione PSD,Luk PSD-importvindue,PSDのインポートウィンドウを閉じる,關閉PSD導入窗口,关闭PSD导入窗口,Zamknij okno importowania PSD,
