Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
UseCustomShader,91,Use Custom Shader,커스텀 쉐이더 사용,Utiliser shader personnalisé,Benutze deinen Shader,Use Shader,Usa Shader,Brugerdefinerede Shader,カスタムシェーダーの使用,使用自定義著色器,使用自定义着色器,Użyj własnego Shader,
CustomShader,92,Custom Shader,커스텀 쉐이더,Shader personnalisé,Deinen Shader,Shader personalizado,Shader personalizzato,Shader,カスタマイズされた,自定義著色器,自定义着色器,Własny Shader,
ParentMaskMesh,93,Parent Mask Mesh,마스크 메시,Masque du masque parent,Maskennetz,Máscara de malla,Maglia maschera,Parent maskering mesh,親マスクメッシュ,父面膜網格劃分,父面膜网格划分,Maska siatki rodzica,
MaskTextureSize,94,Mask Texture Size,마스크 텍스쳐 크기,Taille de texture,Maske Texturgröße,Tamaño de textura,Dimensione della trama,Teksturstørrelse,マスクのテクスチャサイズ,蒙版紋理大小,蒙版纹理大小,Rozmiar tekstury maski,
ClippedChildMesh,95,Clipped Child Mesh,클리핑 메시,Maillage enfant coupé,Abgeschnittenes Netz,Malla de niño recortada,Maglia ritagliata,Skåret netto af barn,クリッピングされた子メッシュ,被面具夾住的網格劃分,被面具夹住的网格划分,Siatka dziecka obcięta,
MaskMesh,96,Mask Mesh,마스크 메시,Maillage de masque,Maskennetz,Máscara de malla,Maschera maglia,Maskering mesh,マスクメッシュ,掩膜網格劃分,掩膜网格划分,Maskuj siatkę,
ClippedIndex,97,Clipped Index,클리핑 인덱스,Indice,Index,Índice,Indice ritagliato,Afskåret indeks,索引,指數,指数,Indeks obcinania,
Release,98,Release,해제,Libération,Freisetzung,Liberación,Rilascia,Frigøre,リリース,放行,放行,Uwolnienie,
ClipToBelowMesh,99,Clip to Below Mesh,아래 레이어로 클리핑,Clip au dessous,Clip auf untere Netz,Clip para debajo,Clip au dessous,Klip til under mesh,下部メッシュへのクリッピング,註冊到掩模網格劃分下方,注册到掩模网格划分下方,Klip do poniżej siatki,
Detach,100,Detach,등록 해제,Detach,Ablösen,Detach,Detach,Løsrive,デタッチ,分離,分离,Detach,
RootTransform,101,Root Transform,기본 트랜스폼,Transform racine,Root-Transform,Transform de raíz,Trasform della radice,Root Transform,ルートトランスフォー,根變換,根变换,Transformacja rdzeń,
LayerUp,102,Layer Up,레이어 증가,Augmenter,Erhöhen,Aumentar,Strato Su,Forøg lag,レイヤーの増加,增加圖層,增加图层,W górę,
LayerDown,103,Layer Down,레이어 감소,Diminution,Verringern,Disminución,Strato Giù,Sænk lag,レイヤーの減少,減少圖層,减少图层,Na dół,
Layer,104,Layer,레이어,Couche,Schicht,Capa,Strato,Lag,レイヤー,圖層,图层,Warstwa,
Blend,105,Blend,혼합,Mélange,Mischung,Mezcla,Miscela,Blanding,ブレンド,混合,混合,Mieszanka,
ColorOptionOn,106,Color Option On,색상 옵션 활성됨,Couleur ON,Farboption ON,Color ON,Opzione colore ON,Farve ON,色有効,顏色選項已激活,颜色选项已激活,Opcja koloru ON,
ColorOptionOff,107,Color Option Off,색상 옵션 비활성됨,Couleur OFF,Farboption OFF,Color OFF,Opzione colore OFF,Farve OFF,色無効,顏色選項被禁用,颜色选项被禁用,Opcja koloru OFF,
Weight,108,Weight,가중치,Poids,Gewicht,Peso,Peso,Vægt,重量,重量,重量,Waga,
RemoveModifier,109,Remove Modifier,모디파이어 제거,Supprimer le modificateur,Entfernen Modifikator,Eliminar modificador,Rimuovi modificatore,Fjern modifikatoren,モディファイアを削除,刪除修飾符,删除修饰符,Usuń modyfikator,
SetOfKeys,110,Set of Keys,키 세트,Ensemble de clés,Satz Schlüssel,Juego de llaves,Set di chiavi,Sæt med nøgler,キーのセット,套鑰匙,套钥匙,Zestaw kluczy,
Copy,111,Copy,복사,Copie,Kopieren,Dupdo,Copia,Kopi,コピー,複製,复制,Kopiuj,
Paste,112,Paste,붙여넣기,Coller,Einfügen,Pegar,Incolla,Indsætte,ペースト,糊,糊,Pasta,
ResetValue,113,Reset Value,변경 내역 초기화,Réinitialiser la valeur,Zurücksetzen,Restablecer valor,Reimposta valore,Nulstil værdi,リセット値,重置值,重置值,Zresetuj wartość,
ExportImportPose,114,Export/Import Pose,포즈 내보내기/가져오기,Exporter / Importer,Export/Import,Exportar/Importar pose,Esporta / Importa Posa,Eksport / Import pose,エクスポート/インポート,導出/導入姿勢,导出/导入姿势,Pozycja Eksport/Import,
Export,115,Export,내보내기,Exporter,Export,Exportar,Esportare,Eksport,エクスポート,導出,导出,Eksport,
Import,116,Import,가져오기,Importer,Import,Importar,Importare,Import,インポート,導入,导入,Import,
RemoveFromKeys,117,Remove from Keys,키 세트에서 제거,Supprimer des clés,Löschen,Eliminar de llaves,Rimuovi da Chiavi,Fjern fra taster,キーから削除,從鍵刪除,从键删除,Usuń z klawiszy,
NotAbleToBeAdded,118,Unable to be Added,추가할 수 없음,Impossible d'être ajouté,Unfähig,No se puede agregar,Impossibile da aggiungere,Kan ikke tilføjes,追加できません,無法添加,无法添加,Nie można dodać,
AddToKeys,119,Add to Keys,키 세트에 추가,Ajouter aux clés,Hinzufügen,Agregar a Llaves,Aggiungi a chiavi,Tilføj til nøgler,キーに追加,添加到密鑰,添加到密钥,Dodaj do klawiszy,
BasePoseTransformation,120,Base Pose Transformation,기본 포즈 트랜스폼,Transformation de pose de base,Transformation Basispose,Transform de base de pose,Trasformazione di base,Base Pose Transformation,ベースポーズ変換,基礎姿勢變換,基础姿势变换,Podstawowa transformacja,
IKSetting,121,IK Setting,IK 설정,Réglage IK,IK-Einstellung,Config de IK,Impostazione IK,IK-indstilling,IK設定,IK設置,IK设置,Ustawienia IK,
IKInfo_Single,122,[IK Single][]IK is applied to one child Bone,[IK 단일 헤더][]한 개의 자식 본에 IK를 적용,[IK Single][]IK est appliqué à un os d'enfant,[IK Single][]IK wird auf ein Kind angewendet,[IK Single][]IK se aplica a un niño hueso,[IK Single][]IK è applicato a un bambino,[IK Single][]IK anvendes på et børneben,[IK Single][]IKが一つの子ボーンにのみ適用さ,[IK Single][]IK適用於一個孩子的骨頭,[IK Single][]IK适用于一个孩子的骨头,[IK Single][]IK jest dla kości jednego dziecka,
IKInfo_Head,123,[IK Head][]IK is applied to chained Bones,[IK 헤더][]IK로 연결된 본들 중 시작 본,[IK Head][]IK est appliqué aux os chaînés,[IK Head][]IK wird auf Ketten angewendet,[IK Head][]IK se aplica a las cadenas,[IK Head][]IK viene applicato alle catene,[IK Head][]IK anvendes på kædet knogler,[IK Head][]「チェーン」のボーンに適用されるIK,[IK Head][]IK適用於鍊式骨骼,[IK Head][]IK适用于链式骨骼,[IK Head][]IK jest dla łańcuchów,
IKInfo_Chain,124,[IK Chain][]Located in the middle of IK chain,[IK 체인][]IK로 연결된 본들 중 중간 본,[IK Chain][]Situé au milieu de la chaîne IK,[IK Chain][]Gelegen in der Mitte der IK-Kette,[IK Chain][]Medio de la cadena IK,[IK Chain][]Situato nel mezzo della catena IK,[IK Chain][]Beliggende midt i IK-kæden,[IK Chain][]それは「チェーン」の一部です。,[IK Chain][]位於IK Chain的中間,[IK Chain][]位于IK Chain的中间,[IK Chain][]Środek łańcucha IK,
IKInfo_Disabled,125,[Disabled][]IK is not applied,[비활성][]IK가 적용되지 않음,[Disabled][]IK n'est pas appliqué,[Disabled][]IK ist keine Arbeit,[Disabled][]IK no se aplica,[Disabled][]IK non è applicato,[Disabled][]IK anvendes ikke,[Disabled][]IKが適用されていません。,[禁用][]IK不適用,[禁用][]IK不适用,[Disabled][]IK jest wyłączony,
IKHeader,126,IK Header,IK 헤더,IK Header,IK Header,IK Header,IK Header,IK Header,IKヘッダー,IK Head,IK Head,IK Header,
IKNextChainToTarget,127,IK Next Chain to Target,다음에 연결되는 IK 체인,IK prochaine chaîne à cibler,IK nächste Kette zum Ziel,IK próxima cadena para apuntar,IK prossima catena,IK næste kæde,次のIKチェーンターゲット,IK下一個目標鏈,IK下一个目标链,Następny łańcuch IK do celu,
IKTarget,128,IK Target,IK 타겟,Cible IK,IK Ziel,Objetivo IK,IK Bersaglio,IK mål,IKターゲット,IK目標,IK目标,Cel IK,
ChangeIKTarget,129,Change IK Target,IK 타겟 변경,Modifier cible IK,IK-Ziel ändern,Cambiar el objetivo IK,Cambia IK Bersaglio,Skift IK Mål,IKターゲットを変更,更改IK目標,更改IK目标,Zmień cel IK,
IKAngleConstraint,130,IK Angle Constraint,IK 각도 제한,Contrainte d'angle IK,IK-Winkelbeschränkung,Restricción de ángulo IK,Vincolo angolo IK,IK-vinkel begrænsning,IK角度制限,IK角約束,IK角约束,Ograniczenie kąta IK,
ConstraintOn,131,Constraint On,제한 설정됨,Contrainte ON,Einschränkung ON,Restricción ON,Vincolo ON,Begrænsning ON,角度制限が有効,約束已啟用,约束已启用,Ograniczenie ON,
ConstraintOff,132,Constraint Off,제한 설정되지 않음,Contrainte OFF,Einschränkung OFF,Restricción OFF,Vincolo OFF,Begrænsning OFF,角度制限が無効,約束被禁用,约束被禁用,Ograniczenie OFF,
Range,133,Range,범위,Gamme,Angebot,Distancia,Gamma,Rækkevidde,範囲,範圍,范围,Zasięg,
Min,134,Min,최소,Min,Min,Min,Min,Min,最小,最低,最低,Min,
Max,135,Max,최대,Max,Max,Max,Max,Max,最大,最大,最大,Max,
Preferred,136,Preferred,권장,Préféré,Bevorzugt,Prefiere,Preferito,Foretrækkes,推奨角度,首選,首选,Preferowany,
ParentBone,137,Parent Bone,부모 본,Os des parents,Elternteil Knochen,Hueso de padres,Osso genitore,Forældreben,ボーンの親,父骨,父骨,Kość rodzicielska,
Change,138,Change,변경,Change,Veränderung,Cambio,Modificare,Lave om,変化,更改,更改,Zmiana,
ChildrenBones,139,Children Bones,자식 본,Enfants Bones,Kinderknochen,Huesos de niños,Ossa di bambini,Børn knogler,ボーンの子供,兒童骨頭,儿童骨头,Kości dziecięce,
AttachChildBone,140,Attach Child Bone,자식 본 등록,Attacher os d'enfant,Befestigen Knochen,Adjunte el hueso,Attacca osso,Vedhæft børnebenet,子供を取り付ける,附上兒童骨頭,附上儿童骨头,Dołącz kość dziecięcą,
Shape,141,Shape,외형,Forme,Gestalten,Forma,Forma,Form,形状,形狀,形状,Kształt,
Taper,142,Taper,가늘게,Cône,Taper,cono,Rastremazione,Taper,テーパー,錐體,锥体,Stożek,
RemoveBone,143,Remove Bone,본 제거,Enlever os,Knochen entfernen,Eliminar hueso,Rimuovi osso,Fjern benet,ボーンを取り除く,去除骨頭,去除骨头,Usuń kość,
